city_name,country_code,w_main,w_description,w_icon,w_temp,w_feels_like,w_temp_min,w_temp_max,w_pressure,humidity,wind_speed,wind_deg,clouds,dt,sunrise,sunset,timezone,w_name
Kempten,DE,Clouds,overcast clouds,04d,282.17,281.54,280.14,283.14,1000.0,87.0,1.63,261.0,100.0,1648662236.0,1648616500.0,1648662273.0,7200.0,Kempten (Allgäu)
Fulda,DE,Clouds,overcast clouds,04d,279.55,278.36,278.12,280.38,1001.0,80.0,1.79,62.0,85.0,1648662236.0,1648616532.0,1648662548.0,7200.0,Fulda
Dinslaken,DE,Clouds,overcast clouds,04d,282.74,280.76,281.07,284.19,1002.0,61.0,3.76,29.0,100.0,1648661950.0,1648617190.0,1648663303.0,7200.0,Dinslaken
Aalen,DE,Clouds,overcast clouds,04d,280.4,279.37,278.83,282.28,1000.0,89.0,1.76,22.0,100.0,1648662238.0,1648616508.0,1648662373.0,7200.0,Aalen
Lippstadt,DE,Clear,clear sky,01d,281.38,279.48,280.91,282.05,1001.0,55.0,3.09,350.0,0.0,1648662112.0,1648616798.0,1648662919.0,7200.0,Lippstadt
Herford,DE,Clouds,overcast clouds,04d,279.82,277.13,279.18,281.23,1004.0,72.0,3.87,26.0,100.0,1648662239.0,1648616698.0,1648662864.0,7200.0,Herford
Kerpen,DE,Clouds,broken clouds,04d,284.19,282.76,282.84,284.66,1001.0,54.0,3.6,350.0,75.0,1648662239.0,1648617231.0,1648663279.0,7200.0,Kerpen
Russelsheim,DE,Clouds,overcast clouds,04d,283.6,282.32,282.07,284.44,1000.0,62.0,4.12,90.0,100.0,1648662240.0,1648616860.0,1648662827.0,7200.0,Rüsselsheim am Main
Sindelfingen,DE,Clouds,broken clouds,04d,280.63,277.75,279.46,281.84,999.0,81.0,4.63,330.0,75.0,1648662240.0,1648616774.0,1648662630.0,7200.0,Sindelfingen
Weimar,DE,Clouds,overcast clouds,04d,277.83,275.79,277.03,279.24,1010.0,87.0,2.37,104.0,99.0,1648662002.0,1648616119.0,1648662174.0,7200.0,Weimar
Neuwied,DE,Clouds,overcast clouds,04d,284.36,283.02,282.99,285.28,999.0,57.0,1.08,60.0,98.0,1648662241.0,1648617068.0,1648663075.0,7200.0,Neuwied
Dormagen,DE,Clouds,overcast clouds,04d,284.1,282.71,282.44,285.44,1000.0,56.0,4.6,33.0,99.0,1648662242.0,1648617187.0,1648663255.0,7200.0,Dormagen
Rosenheim,DE,Clouds,overcast clouds,04n,283.05,283.05,282.55,284.42,1001.0,84.0,0.87,217.0,100.0,1648662242.0,1648616061.0,1648661843.0,7200.0,Rosenheim
Neubrandenburg,DE,Clouds,overcast clouds,04n,275.83,271.39,275.83,275.83,1006.0,68.0,5.39,56.0,100.0,1648662243.0,1648615526.0,1648661835.0,7200.0,Neubrandenburg
Plauen,DE,Clouds,overcast clouds,04n,275.72,272.74,274.9,277.24,1003.0,92.0,3.0,25.0,100.0,1648662443.0,1648615945.0,1648661954.0,7200.0,Plauen
Grevenbroich,DE,Clear,clear sky,01d,283.72,282.5,282.92,284.87,1001.0,64.0,4.12,360.0,0.0,1648662443.0,1648617247.0,1648663316.0,7200.0,Grevenbroich
Herten,DE,Clouds,overcast clouds,04d,281.78,281.42,280.34,283.84,1001.0,63.0,1.34,82.0,100.0,1648662443.0,1648617092.0,1648663209.0,7200.0,Herten
Bergheim,DE,Clouds,broken clouds,04d,283.82,282.43,282.81,284.63,1002.0,57.0,3.6,350.0,75.0,1648662444.0,1648617238.0,1648663295.0,7200.0,Bergheim
Friedrichshafen,DE,Clouds,overcast clouds,04d,282.38,279.53,280.73,285.03,999.0,85.0,5.66,310.0,100.0,1648662444.0,1648616704.0,1648662471.0,7200.0,Friedrichshafen
